entry_date,exit_date,direction,entry_price,exit_price,pnl,pnl_pct,exit_reason
2024-06-04,2024-06-11,short,70567.765625,67462.7839375,79.212,4.4,take_profit
2024-12-07,2024-12-09,short,99923.3359375,95526.70915625,79.8395,4.4,take_profit
2025-01-10,2025-01-13,short,94701.453125,90534.5891875,80.4719,4.4,take_profit
2025-03-30,2025-04-02,long,82334.5234375,85957.24246875,81.1093,4.4,take_profit
2025-05-20,2025-05-22,short,106791.0859375,111180.19956953124,-83.8929,-4.11,stop_loss
2025-06-09,2025-06-13,short,110294.1015625,105441.16109375,81.0873,4.4,take_profit
2025-08-24,2025-08-29,short,113458.4296875,108466.25878125,81.7296,4.4,take_profit
2025-09-22,2025-10-01,long,112748.5078125,117392.26829405503,76.8595,4.1187,take_profit
2025-10-01,2025-10-03,long,118648.9296875,123869.48259375,82.9858,4.4,take_profit
2025-12-15,2025-12-17,long,86419.78125,90222.251625,83.6431,4.4,take_profit
2026-02-23,2026-02-25,long,64616.73828125,67459.874765625,84.3057,4.4,take_profit
